title;subtitle;date;lat;long;cancelled;
Reichenau, GR;1. Kursdatum;18. Mai 2025, 09:00 Uhr;46.82478;09.41534;false;
Schinznach, AG;2. Kursdatum;31. Mai 2025, 09:00 Uhr;47.45392;08.15464;false;
Rabius, GR;3. Kursdatum;24. August 2025, 09:00 Uhr;46.72891;08.95539;false;
